	tag	label	sentence	text
36	figure	Figure 5	5	(H) The frequency of connections between α/βp Kenyon cells and a given input neuron was calculated by dividing the number of connections detected (for instance, arrows in C and E) by the total number of claws sampled for that particular input neuron.
37	figure	Figure 5	6	The following genotype was used in this figure: yw/yw;UAS-C3PA-GFPunknown/UAS-SPA-GFPattP40; R13F02-GAL4ADVK00027,R85D07-GAL4DBDattP2/R_line (as indicated in the panel)-GAL4attP2.
38	figure	Figure 5	7	Scale bars are 20 μm (B, D, and F) and 10 μm (C, E, and G).
39	figure	Figure 6	1	PLPPNs Connecting the Posterior Lateral Protocerebrum to the dACA (A) A schematic of the Drosophila brain shows a group of α/βp Kenyon cell input neurons—PLPPNs (pink)—projecting from the posterior lateral protocerebrum (PLP) to the dACA.
40	figure	Figure 6	2	(B and C) A group of PLPPNs (bright green) were identified in the screen using two different transgenic lines (B: R19H07-GAL4 and C: R20G07-GAL4).
41	figure	Figure 6	3	(D) PLPPNs were photo-labeled using the R19H07-GAL4 transgenic line; the sample was fixed, immuno-stained (nc82 antibody, blue), and imaged.
42	figure	Figure 6	4	The photo-labeled neurons show an overall similar morphology: their somata are located near the LH; they extend projections in the PLP, the superior clamp (SC), the SLP, and the dACA.
43	figure	Figure 6	5	(E and F) The expression patterns observed for each of the GAL4 lines are broad and include many neurons; (E) the R19H07-GAL4 line drives expression strongly in many neurons, including the PLPPNs, (F) whereas the R20G07-GAL4 line drives expression weakly in fewer neurons, including the PLPPNs.
44	figure	Figure 6	6	These images were obtained from the FlyLight website.
45	figure	Figure 6	7	(G) A split-GAL4 transgenic line driving expression strongly in the PLPPNs was engineered using the R19H07 promoter region to drive the GAL4AD domain and the R20G07 promoter region to drive the GAL4DBD.
46	figure	Figure 6	8	(H and I) The split-GAL4 line was used to drive the expression of the pre-synaptic marker synaptotagmin-fused GFP (H) or the post-synaptic maker DenMark (I).
47	figure	Figure 6	9	(J and K) PLPPN-like neurons were identified in the hemibrain connectome: (J) these neurons project from the PLP to the dACA, the SLP, and the SC; (K) their axonal terminals innervate the dACA, but not the CA or the vACA.
48	figure	Figure 6	10	The connectome recognizes four different types of PLPPN, but the basis for this categorization is not clear (blue, red, green, and purple).
49	figure	Figure 6	11	The images in (J) and (K) were taken directly from the Neuprint platform.
50	figure	Figure 6	12	The neuropil domains are defined by Neuprint platform.
51	figure	Figure 6	13	The following genotypes were used in this figure: (B and D) yw/yw; MB247-DsRedunknown, UAS-C3PA-GFPunknown/UAS-C3PA-GFPattP40;UAS-C3PA-GFPattP2, UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/R19H07-GAL4attP2; (C) yw/yw; UAS-C3PA-GFPunknown/CyO;UAS-C3PA-GFPattP2, R20G07-GAL4attP2/MKRS; (G) yw/yw; MB247-DsRedunknown, UAS-C3PA-GFPunknown/CyO; UAS-C3PA-GFPattP2, UAS-C3PA-GFPVK00005,UAS-C3PA-GFPVK00027/R20G07-GAL4DBDattP2,R19H07-GAL4ADVK00027; (H) yw/yw;Sp/CyO; R20G07-GAL4DBDattP2,R19H07-GAL4ADVK00027/UAS-synaptotagmin::GFPunknown; and (I) yw/yw;UAS-DenMark2/CyO; R20G07-GAL4DBDattP2,R19H07-GAL4ADVK00027/Tm2.
52	figure	Figure 6	14	Scale bars are 20 μm (A–D), 100 μm (E–G), and 20 μm (H and I).
53	figure	Figure 7	1	Identification of the PLPPNs Input Neurons Using Photo-labeling (A) A schematic of the Drosophila brain shows how neurons projecting from the ventral medulla (ME) were identified by photo-labeling the dendritic terminals formed by the PLPPNs in the PLP.
54	figure	Figure 7	2	(B and C) All neurons express PA-GFP (light green), and the PLPPNs express tdTomato (red; B).
55	figure	Figure 7	3	The dendritic terminals formed by the PLPPNs in the PLP are visible in the red channel, and the region outlined by the white dashed line was targeted for photo-labeling (C).
56	figure	Figure 7	4	(D and E) Upon photo-activation of PA-GFP in the PLP, neurons projecting from the ventral LO were identified (D); these neurons extend dendritic arbors (white arrows) in a layer of the LO deeper than the well-characterized layers 1–7 (E).
57	figure	Figure 7	5	The following genotype is used in this figure: yw/yw; QUAS-C3PA-GFPunknown, QUAS-SPA-GFPunknown/UAS-tdtomatoattP40; R20G07-GAL4DBDattP2,R19H07-GAL4ADVK00027/N-synaptobrevin-QF.
58	figure	Figure 7	6	Scale bars are 50 μm (B and D) and 10 μm (C).
